,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-25,170.14572042077637,163.36987328040425,174.92043974756368,170.14572042077637,170.14572042077637,-0.8164784817735619,-0.8164784817735619,-0.8164784817735619,-0.8164784817735619,-0.8164784817735619,-0.8164784817735619,0.0,0.0,0.0,169.3292419390028
1,2023-09-26,170.43984297982652,163.6365964006732,175.0243944510167,170.43984297982652,170.43984297982652,-0.9413880343400737,-0.9413880343400737,-0.9413880343400737,-0.9413880343400737,-0.9413880343400737,-0.9413880343400737,0.0,0.0,0.0,169.49845494548646
2,2023-09-27,170.73396553887673,163.66180090551887,175.8852233166805,170.73396553887673,170.73396553887673,-0.9670618611337597,-0.9670618611337597,-0.9670618611337597,-0.9670618611337597,-0.9670618611337597,-0.9670618611337597,0.0,0.0,0.0,169.76690367774296
3,2023-09-28,171.02808809792688,164.01744585050778,175.56281451275902,171.02808809792688,171.02808809792688,-0.9233588977209841,-0.9233588977209841,-0.9233588977209841,-0.9233588977209841,-0.9233588977209841,-0.9233588977209841,0.0,0.0,0.0,170.1047292002059
4,2023-09-29,171.32221065697706,164.99037895821675,176.54210392827994,171.32221065697706,171.32221065697706,-0.5093569928249405,-0.5093569928249405,-0.5093569928249405,-0.5093569928249405,-0.5093569928249405,-0.5093569928249405,0.0,0.0,0.0,170.81285366415213
5,2023-10-02,172.20457833412758,165.61174629729175,177.37155728662324,172.20457833412758,172.20457833412758,-0.8164784817754079,-0.8164784817754079,-0.8164784817754079,-0.8164784817754079,-0.8164784817754079,-0.8164784817754079,0.0,0.0,0.0,171.38809985235216
6,2023-10-03,172.49870089317773,165.41428966899323,177.72948116528485,172.49870089317773,172.49870089317773,-0.9413880343400476,-0.9413880343400476,-0.9413880343400476,-0.9413880343400476,-0.9413880343400476,-0.9413880343400476,0.0,0.0,0.0,171.5573128588377
7,2023-10-04,172.79282345222794,165.79754746630152,178.0902456469382,172.79282345222794,172.79282345222794,-0.9670618611341171,-0.9670618611341171,-0.9670618611341171,-0.9670618611341171,-0.9670618611341171,-0.9670618611341171,0.0,0.0,0.0,171.82576159109382
8,2023-10-05,173.08694601127812,166.63336505463732,178.24790195440306,173.08694601127812,173.08694601127812,-0.9233588977216168,-0.9233588977216168,-0.9233588977216168,-0.9233588977216168,-0.9233588977216168,-0.9233588977216168,0.0,0.0,0.0,172.1635871135565
9,2023-10-06,173.38106857342376,166.6348398379452,178.70082272898946,173.38106857342376,173.38106857342376,-0.5093569928248941,-0.5093569928248941,-0.5093569928248941,-0.5093569928248941,-0.5093569928248941,-0.5093569928248941,0.0,0.0,0.0,172.87171158059886
10,2023-10-09,174.26343625986073,167.23557580718415,179.18251618270483,174.26343625986073,174.26343625986073,-0.8164784817688255,-0.8164784817688255,-0.8164784817688255,-0.8164784817688255,-0.8164784817688255,-0.8164784817688255,0.0,0.0,0.0,173.4469577780919
11,2023-10-10,174.5575588220064,167.72028746847363,179.61994454212615,174.5575588220064,174.5575588220064,-0.9413880343390177,-0.9413880343390177,-0.9413880343390177,-0.9413880343390177,-0.9413880343390177,-0.9413880343390177,0.0,0.0,0.0,173.6161707876674
12,2023-10-11,174.85168138415207,168.2812303579443,179.9585954640701,174.85168138415207,174.85168138415207,-0.9670618611335088,-0.9670618611335088,-0.9670618611335088,-0.9670618611335088,-0.9670618611335088,-0.9670618611335088,0.0,0.0,0.0,173.88461952301856
13,2023-10-12,175.14580394629772,168.29405962325453,180.48134246625335,175.14580394629772,175.14580394629772,-0.9233588977208773,-0.9233588977208773,-0.9233588977208773,-0.9233588977208773,-0.9233588977208773,-0.9233588977208773,0.0,0.0,0.0,174.22244504857684
14,2023-10-13,175.43992650844336,169.01438791087915,180.54822763346468,175.43992650844336,175.43992650844336,-0.5093569928315753,-0.5093569928315753,-0.5093569928315753,-0.5093569928315753,-0.5093569928315753,-0.5093569928315753,0.0,0.0,0.0,174.93056951561178
15,2023-10-16,176.32229419488033,169.99251100457303,181.28258722906128,176.32229419488033,176.32229419488033,-0.8164784817706718,-0.8164784817706718,-0.8164784817706718,-0.8164784817706718,-0.8164784817706718,-0.8164784817706718,0.0,0.0,0.0,175.50581571310966
16,2023-10-17,176.616416757026,170.270877492164,181.5953377978756,176.616416757026,176.616416757026,-0.941388034338992,-0.941388034338992,-0.941388034338992,-0.941388034338992,-0.941388034338992,-0.941388034338992,0.0,0.0,0.0,175.67502872268702
17,2023-10-18,176.91053933577305,169.9141208761322,181.76535055742397,176.91053933577305,176.91053933577305,-0.967061861133866,-0.967061861133866,-0.967061861133866,-0.967061861133866,-0.967061861133866,-0.967061861133866,0.0,0.0,0.0,175.9434774746392
18,2023-10-19,177.20466191452013,170.25402278542776,181.98035849623602,177.20466191452013,177.20466191452013,-0.9233588977211181,-0.9233588977211181,-0.9233588977211181,-0.9233588977211181,-0.9233588977211181,-0.9233588977211181,0.0,0.0,0.0,176.281303016799
19,2023-10-20,177.49878449326718,171.26662410875107,182.8203129203624,177.49878449326718,177.49878449326718,-0.5093569928315294,-0.5093569928315294,-0.5093569928315294,-0.5093569928315294,-0.5093569928315294,-0.5093569928315294,0.0,0.0,0.0,176.98942750043565
